TILE_ID,NUMBER,RA,DEC,OBJID_MoonObs,RA_MoonObs,DEC_MoonObs,separation_arcsec,MAG_AUTO_56,sglc_prob_star,Z
2520,9645,260.7514169467276,65.73538032070698,9685,260.75141737,65.73537967,0.0024247977084160205,19.84677,0.001,1.3896654038674263
2520,10029,260.85400853467587,65.74294542122713,9493,260.85401212,65.74294611,0.005853767264244783,21.841862,0.0,0.5562718936605008
2520,17140,260.69601873454894,65.88212482235302,5299,260.69601413,65.88212529,0.006979446385133718,18.601212,1.0,1.2504383520805349
2520,11271,260.4319195404472,65.76753308622753,7517,260.43191331,65.76753336,0.009258612186489804,20.021849,1.0,1.1198503252030376
2520,9309,260.8055725488202,65.73015774245738,8731,260.80557833,65.73015651,0.00963670042737431,21.445347,0.0,1.017717050353827
2520,14729,260.91861058731723,65.97649117249128,4492,260.91860388,65.97649112,0.009832068297004419,18.006699,1.0,0.19461230816205
2520,12538,260.87591222497247,65.79502482167321,6879,260.87591854,65.79502386,0.009943200538186064,21.7028,0.0,0.0753525606536238
2520,14204,260.7356339758836,65.82731562382736,5009,260.73562857,65.82731386,0.010189534255611,20.39048,0.0,0.5416128051719897
2520,17174,261.0995346801308,65.896314166084,9726,261.09953033,65.89631658,0.010789859506104208,20.01464,0.0,0.1179719567411828
2520,16884,260.63934229450166,65.8839611333793,1682,260.63933864,65.88396386,0.011191334674002995,22.460384,0.134,0.8382626896640653
2520,9683,261.01662108076823,65.73665516731276,4985,261.01662847,65.73665386,0.011901358354729465,22.35659,0.0,0.8095876517767228
2520,9152,260.8818944495848,65.72239737274175,1351,260.88189846,65.72239386,0.013969797136413298,19.727962,0.0,1.1501980020417304
2520,11893,260.60618900052094,65.78217365070827,4022,260.60619852,65.78217386,0.014078014790708434,22.233774,0.0,1.306462191365674
2520,18163,260.34792440424513,65.86202979303995,5818,260.34792861,65.86203386,0.01589641807566303,22.128155,0.0,1.2295457981885645
2520,8594,260.69402113578656,65.71691716413358,4805,260.69402845,65.71691386,0.016085586201139618,21.80709,0.0,1.3163443829720969
2520,23064,260.9612374170658,65.98073859615187,2973,260.96123845,65.98074306,0.016140979598859642,20.971582,0.0,0.595240068009648
2520,19461,260.78393110137597,65.83790723026617,3141,260.78393858,65.83790386,0.01639060398428723,22.439936,0.0,0.7685919497706452
2520,18465,260.5369550501866,65.87304821119494,57,260.53695862,65.87304386,0.01652166710705968,22.462963,0.0,1.2063404132066988
2520,15886,260.54367161423403,65.92004834145169,1010,260.54366868,65.92004386,0.016698993735918596,22.225481,0.0,1.0476230635649042
